id	qid1	qid2	question1	question2	is_duplicate
162062	252359	252360	How do you find the magnitude of the a net force using a formula?	How do you find the magnitude of the net force?	1
162063	17772	252361	What are the best web products to develop?	What are some good tools for collaboration on web product development?	0
162064	252362	252363	"Is it possible to cure speech disorders? Can't properly pronounce ""r""/""er"" sounds, someone once thought I was deaf."	What is VPN and how is it different from a wifi? Can someone please give an accurate answer?	0
162065	61380	7075	What does Gary Johnson have to do to have a chance of winning in November?	Can Gary Johnson win?	1
162066	136722	252364	What if Sourav Ganguly played badminton instead of cricket?	What if Sourav Ganguly played table-tennis instead of cricket?	0
162067	252365	252366	I am BSc third year student in Physics and want to do MSc in Physics, Which Colleges n Exams should I choose for reputed MSc course?	An architect asked me to develop a front-end website for him but I wanna use PHP with it . In what part of this project PHP can help me?	0
162068	63223	252367	How do you cope with depression?	How do i cope with my depression?	0
162069	252368	252369	How is a multi-engine plane controlled, and stopped from entering an immediate spin, in the event of an engine failure?	Should I give JEE again and change my college and branch from mechanical to CSE after my first year?	0
162070	252370	252371	Is it wrong to hate a certain race?	Is it wrong to hate a specific race?	1
162071	252372	252373	What is best gift you ever gave to yourself (with your money of course)?	What's the best gift you ever gave to yourself?	1
162072	252374	252375	What are the implications of a surplus budget?	Is there anyone preparing for Civil Services nearby Visakhapatnam Railway station?	0
162073	252376	252377	What is the job outlook for video production and video editors?	What are the best video editors for GoPro?	0
162074	252378	252379	How can one join an A division football club in Delhi?	How can one join a B division football club in Delhi?	0
162075	252380	252381	Is there a way for a poker site like PokerStars to detect that you are using a VPN to play (other than by blacklisting VPN providers)?	Is using a VPN legal in America?	0
162076	252382	252383	I am a failure at 40, no strength, living in closed room in parents home, unable to express, never had any relationships, neglected in life, now what?	I am 45 and never had a girlfriend. I have Asperger's which may be the reason why. Am I the only one like this, or it is common for men with Asperger's to be unable to find a girlfriend?	0
162077	252384	252385	Should I tell my dad about my moms relationship?	I have a approved H1b petition till 2019 and was given 221g during my interview .Incase if my visa gets rejected will I come under cap exempt?	0
162078	107607	241140	What are the best places to visit near Bangalore in one day?	Which is the best place near Bangalore to visit as a one day trip?	1
162079	87530	41347	Which is a good solar panel installation provider near Mcclellan, California CA?	Which is a good solar panel installation provider near Nipomo, California CA?	0
162080	252386	252387	Why doesn't the most important person of your life care about you?	If a person doesn't know what to do in life? What should he\she do?	0
162081	252388	252389	What are the legal implications of running from the police?	What are the legal implications of running from police?	1
162082	252390	252391	What are the prerequisites for understanding Riemann Zeta function, and what's it all about?	What are examples of random things to research?	0
162083	252392	252393	Body fat: how much kilograms required to lose 1 cm of waist circumference?	How do I lose 3% body fat when at 13% body fat?	0
162084	229048	252394	What undergraduate program would best prepare me for graduate studies in neuroscience?	What are the best schools to study neuroscience in the US?	0
162085	252395	252396	Why do mice squeak? Is it only to communicate, or will mice also squeak when they are alone?	What is the reason why mice squeak?	1
162086	188800	252397	I have secured a composite score of 707.5 and the percentile below is 95.2 in MAT by AIMA. What are the good colleges under MAT to which I can apply for?	I got a composite score of 731 in MAT in September 2014. Which good institutes should I apply to?	0
162087	244490	252398	How do we know that dark matter exists?	Where is dark matter? How do we know it exists?	1
162088	252399	252400	How is carbonic acid formed from the reaction of carbon dioxide and water?	Glucose reacts with oxygen to give off carbon dioxide and water. What mass of oxygen is required for a complete reaction of 25 g of glucose?	0
162089	252401	252402	Where can I get cheap cricket bats in Hyderabad?	With which cricket bat is best to bat?	0
162090	182608	252403	How many words does an average English speaker know?	On average, how many syllables do English words have?	0
162091	252404	252405	What is the importance of chlorophyll in chloroplast?	Why is the importance of chlorophyll in plants?	0
162092	252406	252407	Why do some Indians use 'RA' or 'DA' or 'Yaa' at the end of each sentence?	What is a homophone for way? How are they each used in a sentence?	0
162093	252408	252409	What is best free wordpress theme?	What are some of the best free wordpress themes for blogs?	1
162094	252410	252411	Why do our eyes get closed when we sneeze?	What makes us close our eyes forcefully while we sneeze?	1
162095	252412	128761	Why do queen ants exist?	What happens when you kill the queen ant?	0
162096	252413	135134	What is plant tissue culture?	Why is plant tissue culture important?	0
162097	252414	252415	What are the best restaurants in Hyderabad?	What are some best restaurants in Hyderabad?	1
162098	252416	252417	How many managers per employee should a mid-sized company have?	Why do companies that take over smaller companies lay-off the mid/low level employees rather than laying off the top-level management?	0
162099	144417	252418	What are your comments on Rahul Gandhi's Twitter account hacking?	What are you views on the Twitter account hack of Rahul Gandhi?	1
162100	235346	252419	How can I forward postal mail to someone?	How can I forward postal mail online?	0
162101	252420	252421	What is the most aesthetically pleasing photo you've taken on your phone? Show pictures?	Which technology needs improvement?	0
162102	252422	252423	Which is the best book on public speaking?	What's the best public speaking book?	1
162103	252424	154132	How do I find the type of triangle with the help of 3 coordinates?	How can I find the area of a triangle with side 3,2,1 cm?	0
162104	252425	98593	What is it like for an Indian to live in Taiwan?	Is Taiwan part of or separate from China?	0
162105	252426	252427	Which is the best coaching class for an IIT JEE crash course in Mumbai?	Which coaching classes are the best in Mumbai for IIT Jee?	1
162106	252428	252429	What one advice will you change my life?	What's that one change you made in your routine that completly changed your life?	1
162107	252430	252431	What is a movable pulley and what are some examples?	What is an example of a movable pulley?	0
162108	252432	202664	What is the best place to sell your clash of clans account?	How do I play a multiple Clash of Clans account on my Android device?	0
162109	252433	252434	How can I improve my note-taking? I'm trying to write the main concepts, but still end up with nearly everything that was said in the textbook.	I have made a bad habit of going 5-7 minutes late in my mid or semester exams thinking that having just a look at the notes can have a large impact but instead I forget things in the exam. I know this is wrong but it happens every time even if I try to avoid it. How should I cope with this anxiety?	0
162110	252435	252436	What's the best book about Radiohead?	"Why do a lot of Indians love the song ""Creep"" by Radiohead?"	0
162111	121850	109149	What is that one thing you will always regret about?	What are the things you regret not doing?	0
162112	9844	252437	What are some things new employees should know going into their first day at Team?	What are some things new employees should know going into their first day at Starbucks?	0
162113	252438	252439	How many times is afcat exam is conducted in a year?	How many times is an eLitmus test conducted in a year?	0
162114	252440	252441	What are the new elements discovered in the periodic table?	What are the three new elements discovered?	0
162115	4051	11397	What can I do to practice my English?	How can I improve in English?	1
162116	252442	252443	How do you pronounce anise?	How is cumin pronounced?	0
162117	252444	252445	What song plays over the end credits to the 2002 movie The Son?	What song plays over the end credits to the 2002 movie May?	0
162118	43166	79590	How can I get self-esteem and confidence?	What should I do to boost my self-esteem and self-confidence?	1
162119	252446	252447	How much does it cost to have an injection mold made?	Where do I buy personalized molds for plastic injection molding, and do I need to find an engineer to build my pieces for the molding?	0
162120	150420	252448	Why do I feel inferior?	What can I do to not feel inferior?	0
162121	24297	32317	What is the easy way to make money online?	How do I make money from home?	1
162122	252449	252450	Why do the loco pilots and the station guards wave green flags against each other when the train is crossing a station?	Why are train stations in the UK so noisy?	0
162123	252451	252452	Why do I suck at math?	Can you suck at math and be smart?	0
162124	252453	252454	What are some conspiracy theories about video games?	What are some interesting video game conspiracy theories?	1
162125	252455	252456	What are some positive reviews about techmahindra?	Are there types of antimatter just like with matter?	0
162126	76837	112888	Where can I find genuine data entry projects?	Where do I find genuine data entry projects?	1
162127	252457	38776	How do you recover old Gmail addresses?	How can I recover my Gmail password without a recovery phone number or email?	0
162128	252458	252459	How competitive is the hiring process at Host Hotels & Resorts?	How competitive is the hiring process at Strategic Hotel & Resorts?	0
162129	252460	252461	Can Apple innovate without Steve Jobs?	Did innovation at Apple die with Steve Jobs?	0
162130	252462	252463	How does Nordstrom's dress categorization process work?	Data processing recommed book?	0
162131	252464	252465	What do you think about when you cannot sleep?	What do you think before sleep?	0
162132	252466	49612	Vietnamese who speak Japanese: Where did you study Japanese? Did you take the Japanese Language Proficiency Test?	Indonesians who speak Japanese: Where did you study Japanese? Did you take the Japanese Language Proficiency Test?	0
162133	154983	28771	Who is better, Ronaldo or Messi?	Who is better, Messi or Ronaldo?	1
162134	252467	78437	Is it hard to learn English?	How difficult is it to learn English?	0
162135	252468	252469	How heavy is earth?	How heavy is the earth?	1
162136	252470	252471	What is the ray j net worth?	Who will win FIFA best player award 2016?	0
162137	252472	252473	Do women like men with shaved heads?	How do women like men with beards vs. men who are clean-shaven?	0
162138	252474	252475	Should I buy LG v20?	Should I buy LG V20 despite shattergate?	0
162139	158096	36303	How can we check counterfeit 2000 ₹ and 500 ₹ notes?	How safe is new Rs 500 and Rs 2000 Indian currency notes?	1
162140	62668	12719	What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions? 2	What are the safety precautions on handling shotguns proposed by the NRA in Kansas?	1
162141	252476	252477	I want to learn python, I have no previous programming experience, how do I start?	I want to learn and eventually master Python. Where do I start?	1
162142	5726	10949	How can I find all my old Gmail accounts?	Where is my other gmail accounts?	1
162143	252478	252479	What can we surmise from the apparent lack of people reading software Eula?	Are police allowed to read text messages from another people? Why or why not?	0
162144	252480	252481	How do I came out add topics on Quora?	Name of business that can be started with no investment?	0
162145	51878	1734	What are the pros and cons of Hillary Clinton being the next President?	What are pros and cons of Hillary Clinton?	1
162146	252482	24518	What is unusual or different about the food and cuisine in Bolivia?	What is unusual or different about the food and cuisine in Australia?	0
162147	252483	252484	Which is the best book?	Which is best book?	1
162148	252485	252486	Why do people pretend to like things?	Why do some people pretend to be a friend?	0
162149	252487	252488	How do Orthodox Jewish surgeons work around the Jewish holidays with their incredibly long work weeks?	How do orthodox surgeons work around all the Jewish holidays with their incredibly long work weeks?	1
162150	252489	252490	What are the pros and cons of socialism and communism?	What are the pros and cons of communism?	0
162151	155857	191272	What are some examples of personification?	What is personification? What are examples of this?	1
162152	252491	252492	How do I get AAdvantage Gold status free?	How do I transfer my AAdvantage miles to Etihad?	0
162153	252493	252494	What’s the best thing one can do if his or her car breaks down in the middle of a deserted place?	One of the main reasons for traffic jams in Delhi NCR is trucks and buses breaking down in the middle of roads. What measures can we adopt to remove these vehicles quickly from the crowded places to ensure a smooth flow of traffic?	0
162154	252495	252496	How do I convert .qsv files to .MP4?	How do I convert .exe flash file to mp4?	0
162155	192765	252497	Will my eyesight get worse if I don't wear prescription glasses?	Do we have to do eye exercises by removing glasses or wearing glasses (my eyesight is -2.5)?	0
162156	119663	252498	What's the body that governs sports in Finland, and its (email) contact point?	What's the body that governs sports in Norway, and its (email) contact point?	0
162157	252499	252500	Why are prices of watches so high?	If the price of oil and gas has gone down why are my energy bills still so high (I live in the UK)?	0
162158	252501	252502	What is the interview process at JusPay Bangalore?	What is the interview process at Juspay?	0
162159	252503	252504	Music without wifi?	"How would it be if the White House had a ""buri nazarwale tera muh kala"" sign?"	0
162160	252505	252506	Why is there still no cure for depression?	Why is there no cure for depression?	1
162161	252507	252508	My Nexus 5 will shut off randomly and won't turn on as if it were dead, how do I fix this?	My Nexus 7 is on the setup menu and it won't connect to the WiFi. What should I do?	0
162162	252509	252510	What is religious?	What's your religious history?	0
162163	165010	252511	What are the effective strategies for planning a great product launch event?	What are some great ideas for an app launch event/party?	0
162164	102508	210292	What are the most important turning points of your life?	What is the turning point in your life?	1
162165	209654	252512	Will the World end?	How will the world truly end?	1
162166	252513	252514	What are some good bluetooth headsets?	Which is best bluetooth headset?	1
162167	252515	4119	How do I unlock iCloud free on my iPhone 4s?	How can I unlock an iPhone without knowing the Apple ID or password?	0
162168	252516	252517	Is the RNC a private company?	What form of business organization do the Republican and Democratic national parties take? LLC, Corporation?	0
162169	252518	252519	Which are the best restaurants in London?	What is the best restaurant in London?	1
162170	252520	252521	How and where to sell luxury watches like Rado, Patek Philippe, Chanel etc?	How and where to sell luxury watches like Rado, Patek Philippe, Chanel etc in India or internationally?	0
162171	220443	252522	What do people in Kazakhstan think of Borat?	What do people from Khazakstan think of Borat?	1
162172	252523	252524	How can I heal myself from glaucoma?	How can we prevent glaucoma?	0
162173	252525	252526	How can a person with a timid personality be described?	How are flaws described in a person?	0
162174	252527	252528	What is the diffusion of water through a membrane?	How do water and oxygen paths differ in alveoli cell membrane?	0
162175	18916	197876	What are the puzzles asked in an interview?	What are the standard puzzles asked in interviews?	1
162176	252529	197317	What are singly and doubly reinforced beams?	Why are doubly reinforced beams required?	0
162177	252530	252531	Is one-sided love real?	Can love be one sided?	1
162178	23108	882	Why is salt water taffy candy imported in France?	Why is Saltwater Taffy candy imported in Greece?	1
162179	252532	252533	What is the use of horseshoe crab blood?	Which companies buy horse shoe crab blood?	1
162180	252534	252535	What is leukoderma and what are the symptoms of it?	What are the symptoms of inflammation? How is it diagnosed?	0
162181	185150	252536	For physics, which is the best book to crack NEET?	Which is the best book of physics for cracking aipmt?	0
162182	252537	252538	How much does it actually cost to study in the US, particularly for Indian students?	How much does it cost in INR (Indian rupees) for a two year master's degree in computer science in the US?	0
162183	252539	252540	I'm developing software for someone and they refuse to pay until I add tons of features not in our signed agreement. What action should I take?	Can you demonstrate that gratitude is a basic, universal moral obligation?	0
162184	13756	6748	How can I improve English speaking skill?	How can I improve my communication skill and English proficiency?	1
162185	229743	252541	Which of America's founding fathers were more religious and which were less religious?	Why do many Americans believe that the Founding Fathers were Christians when the majority, were in fact, Deists>?	1
162186	252542	252543	Do Indian men treat women badly?	Do men from india treat women badly?	1
162187	252544	252545	What do NSITians think of IT-BHU (Now IIT-BHU)?	I am 27 years old and I want to be cricket . can I make to be a cricket?	0
162188	191186	148897	What is the advantage of Internet?	What are the benefits provided by Internet?	1
162189	252546	193968	What is the best chocolate cake recipe with icing?	What is the best recipe for flourless chocolate cake?	0
162190	252547	117188	What's the best way I can remove bubble gum off my daughter's face?	What can I do to fade acne scars on my face?	0
162191	252548	252549	What is the use of Hall effect sensors in smartphones?	What is the hall effect thickness sensor?	0
162192	33029	129101	Why do non-deserving people get everything and those who do struggle very hard for years?	Why is that some people get what they want very easily while others have to struggle for the same?	1
162193	252550	252551	How can I know about Alfresco Aikau?	Are over 15 million Australians descendants from the U.K and Ireland?	0
162194	21674	252552	What are the good startup ideas?	Is it a good idea to build my startup in Go?	0
162195	252553	120461	What are some laws that should be made to control the high levels of animal trafficking in Mexico?	What are some laws that should be made to control the high levels of animal trafficking in China?	0
162196	44173	252554	Where can I find free Premiere Pro title templates?	Why did Adobe Premiere Pro remove a lot of their transitions? And where can I get free transitions?	0
162197	47257	112136	What Quora mean?	What is the Quora means?	1
162198	252555	252556	What does a nonprofit treasurer need to know?	What are the roles a college treasurer might have?	0
162199	9007	29359	How could I be fluent in English?	How can I improve my communication skills in english?	1
162200	252557	252558	Is there a way to overcome heat intolerance?	What is paradoxical about Levinthal paradox?	0
162201	252559	252560	Why did Vanossgaming and Miniladd stop playing together?	I ordered CoD: AW DVD to play over the weekend online, but it's updating with an ETA of 15 hours. Is it normal? Can I stop it?	0
162202	34524	1842	Is vacuum energy infinite?	Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? NO MERGE	1
162203	252561	252562	Why are some Indian girls rude to guys who try to approach them?	As an Indian guy why do I find it easy to approach white girls, but difficult to get entertained by them?	0
162204	252563	213133	Which book is prepared for CS Executive company law?	Which book is the best reference for a CS executive in both modules?	0
162205	252564	252565	Why did Michael Jackson undergo so much plastic surgery?	What might Michael Jackson have looked like at the year of his death had he never elected to have plastic surgery?	0
162206	252566	252567	Where can I find free assets for Unreal Engine 4?	Which game engine should I learn: Unity 5.0 or Unreal Engine 4?	0
162207	211564	66286	How do I make studying fun?	How can I make studies more interesting?	0
162208	252568	252569	What is a good treatment for cramping muscles?	What are good muscle relaxers for cramps?	0
162209	252570	252571	What are the pros and cons of socialism?	What is socialism? What are the pros and cons?	1
162210	252572	252573	Is the ATM business still viable?	How profitable is the ATM business? Is it still a viable business?	1
162211	252574	252575	Is an MBA in India highly overrated? Why or why not?	Jobs in US after MBA in India?	0
162212	252576	252577	How do I make $5 dollars a day online?	How do I earn 5 dollars a day online?	1
162213	252578	252579	Why is Pep Guardiola Going To Manchester City?	How did Manchester City improve under Pep Guardiola?	0
162214	252580	21840	Soundtracks: Which are some of the greatest choir songs in movies?	What are the best movies of all time?	0
162215	252581	252582	How can I download Tumblr videos on my phone?	How can one download videos from YouTube to an Android phone?	0
162216	252583	252584	Should I start smoking?	What are some good reasons to start or continue smoking, and what are some of the benefits of smoking?	0
162217	39755	23070	Can we expect time travel to become a reality?	Is time travel to 2010 possible?	1
162218	252585	252586	How does iOS 8.1.1 perform on iPad 2?	How does iOS 6 perform on iPad 2?	0
162219	47481	252587	What is the most embarrassing photo you have ever taken of others?	What are some of the most embarrassing photos ever taken?	0
162220	252588	92337	What is best way to to become a good cyber security analyst?	What is the best way to learn Cyber Security?	0
162221	42041	15408	Which is your favorite bollywood movie in 2016?	What is the best Bollywood movie of 2016?	1
162222	252589	252590	What are the best ways to cook winkles?	How do I cook winkles in a microwave?	0
162223	252591	252592	What are the questions usually asked in an amity interview?	What questions are usually asked in an amity interview?	1
162224	64671	13099	How should I learn how to believe in myself and stop with the negative self talk?	How do I stop negative self-talk and judging people?	1
162225	252593	252594	Do I need a medical test for the visa interview to the US?	Do I need a midical test for the visa interview to the US?	1
162226	10671	27380	What are the safety precautions on handling shotguns proposed by the NRA in New Hampshire?	What are the safety precautions on handling shotguns proposed by the NRA in Idaho?	1
162227	9483	25734	Why do bad things seem to happen to good people?	Why would bad things ever happen to good people?	1
162228	153294	252595	How do I initiate a conversation with a girl?	What is the best way to start a conversation with a girl?	1
162229	252596	252597	How do I cure skinny fat?	How do I become skinny if I'm skinny fat?	1
162230	252598	252599	"Where does the word ""Hurriya"" come from?"	Where does the word no come from?	0
162231	252600	252601	Should I use iCloud or Dropbox on my Mac?	How will iCloud be better than Dropbox? Music?	0
162232	252602	252603	What are the top tips for getting into Watergate in Berlin?	What is the best place to get frozen yogurt in Berlin?	0
162233	237964	23596	What would be the impact of GST in india?	What is the use of GST bill?	1
162234	6867	252604	Can I make 10,000 a week betting on horses?	Can you make 50,000 a month betting on horses?	0
162235	149195	174639	How do you know if it's lust or love?	How do I really know if I love or lust after a girl?	1
162236	252605	252606	What can be some cool & innovative ideas that can be used in smart TVs using the IoT (Internet of things)?	How can I connect my laptop display to my smart TV wirelessly?	0
162237	34010	252607	Where can I find best hotels at Bhopal?	Where can I find best hotels in Bhopal for a holiday stay?	1
162238	76055	48191	What do you think about Donald trump?	What do you think about Donald Trump in September?	1
162239	252608	252609	What are Mike Tyson's fastest knockouts?	How good was Mike Tyson as a boxer?	0
162240	252610	148056	How do you remove wax from a tablecloth?	How can I get wax stains out of a tablecloth?	1
162241	204956	92340	What is the Minimum pay or salary for a chartered accountant?	What is salary for chartered accountant in India?	1
162242	252611	252612	How do metaphase and anaphase differ?	What are the best ways to roast frozen pork?	0
162243	252613	252614	How do I write a professional report of the development of my iOS app?	Can iOS app development be done on ubuntu?	0
162244	73772	36028	How do crop circles form?	What is a crop circle?	1
162245	252615	252616	How easy is trampoline in the Olympics?	Received warning letter from Capgemini after absconding in a month, what legal actions can they take?	0
162246	220087	252617	How is deforestation harming Latin America?	In my new house bathroom tiles shows patches what will be solutions?	0
162247	252618	252619	How do I transform acoustic guitar into an electric guitar?	Why do most arts and humanities students fear science and technology?	0
162248	252620	252621	Does Parachute's coconut oil really have 100% pure coconut oil?	How safe are Indian coconut packaged oils? Are they pure or made from mineral oil?	0
162249	7338	34450	What is the quickest way to get meth out your system?	What is the best way to flush methamphetamines out of your system?	1
162250	252622	252623	What are some mind-blowing facts about the planet Mars?	What are some facts about mars?	1
162251	118649	252624	How do i know who visited my Facebook profile?	Is there any option on Facebook to know who has / how many people have visited my profile?	0
162252	252625	156879	How can I learn ENGLISH faster?	How can I learn to speak faster?	0
162253	252626	252627	Why didn't Draco confirm Harry, Ron and Hermione's identities when they were brought to Malfoy Manor?	Why draco didn't told bellatrix about Harry's true identity at malfoy manor?	1
162254	252628	252629	What is the significance of Kodaira's classification of elliptic surfaces?	What is the significance of Jacobi elliptic functions?	0
162255	15349	87924	What's the best programming language to learn in 2016?	What are the best programming languages for beginners and why?	1
162256	252630	252631	Why do most cartoon books use uppercase letters?	Why are comic books written only in capital letters?	1
162257	252632	252633	Why does everyone blame Jawaharlal Nehru for the situation in Kashmir?	Why do people blame Nehru for Kashmir issue?	1
162258	149876	252634	I have an overall low percentage of 55 in engineering. Can I get admission into top tech colleges for a MS in the US if I am confident I can crack the GRE with a good score?	Will a SCJP certification help me to get admission into top US colleges for a Masters in CS? My GRE score is 328/340 and under graduate percentage is 74.	0
162259	252635	252636	What are today's parenting issues?	Am I eligible to apply for MNC if my graduation is from non UGC but post graduation is from UGC approved college?	0
162260	252637	78559	How can I accomplish more every single day?	How do I get motivated every single day?	0
162261	252638	252639	Is there a proof of male virginity?	Do males have virginity?	1
162262	252640	252641	I am a JEE aspirant (very weak at ray optics). How should I proceed?	I am a JEE 2016 aspirant. I am very much tensed by my performance in the test (66 centre rank which used to be under 20). What should I do now?	0
162263	252642	252643	"What is a really good analysis on the poem ""Fifteen"" by William Stafford?"	"What is a really good analysis of the poem ""Fifteen"" by William Stafford?"	1
162264	252644	252645	How do you make celery taste better?	How do I make oatmeal taste better?	0
162265	252646	252647	What will happen if you wash your hair with soap, like Lux?	Is it okay to wash your hair with soap instead of shampoo?	0
162266	252648	252649	If a father with an O blood type and a mother with a B+ blood type, what will be the child’s blood type?	Can a mother with blood type O and a father with blood type B have a son with blood type AB?	0
162267	252650	252651	What rights did women have under pre-Islamic Arab tribal law?	How does the media portray India in your country?	0
