id	qid1	qid2	question1	question2	is_duplicate
113212	185078	185079	What is conclusion of flip flops?	What is a race around condition related to JK Flip Flop?	0
113213	185080	185081	If the invasion of Normandy failed would Hitler have won the war?	If the Allied powers would have lost the Invasion of Normandy, what would the consequences have been?	0
113214	185082	185083	Why was the Bill of Rights necessary?	Why was bill of right important?	1
113215	185084	185085	Which of the eCommerce software is best for small Business?	Which of the ecommerce software is best for online business?	0
113216	83234	3576	Why can't I delete my own Quora questions?	How do I delete my own question from Quora?	1
113217	185086	185087	How was your experience while complaining on the Anti Corruption Helpline 1031 launched in Delhi by Kejriwal?	New Delhi: Is it true that the municipal corporation of Delhi (MCD) is a very corrupt body? Are there any proofs or experiences to justify it?	0
113218	185088	185089	Is it possible that dinosaurs are still alive? If so, where could they be?	Is it possible that dinosaurs are still alive, but humans don't know?	1
113219	185090	185091	Why isn't variable wing geometry used in 5th generation fighters?	Do you feel upvote and follow feature could get biased at times on Quora?	0
113220	185092	93886	What if there is no God?	What if there is a God?	0
113221	185093	185094	Why are Hindu temples closed during eclipses?	Philosophy of Science: Why are temples closed and people are not allowed to move outside on an eclipse day?	0
113222	159	126311	What is purpose of life?	What is the purpose for human living in the world?	1
113223	185095	83935	I don't know how to move on from my past relationship. How do I move on?	How can I move on from my past relationship?	1
113224	185096	185097	Indian Railways: If I board in a sleeper class coach with an unreserved ticket, what penalty or charges am I required to pay to the TTE?	If I have booked my railway ticket in any AC class and it's not confirmed, then should I be allowed to travel in that class or a sleeper class?	0
113225	185098	110315	What kind of things would change if the Earth spun on its side like Uranus?	What would change if the Earth spun on its side like Uranus?	1
113226	185099	185100	Which is the best domain name registrar?	Which one is the best domain registrar?	1
113227	185101	185102	If you had any superpower, what would it be and why?	If you had a superpower what would it be?	1
113228	110338	81052	How good are the chances of India getting a permanent seat in UNSC?	Why India isn't getting a permanent seat in UNSC?	1
113229	185103	185104	How do I open a zero balance account in ICICI bank?	How can I open my bank account in ICICI bank?	0
113230	185105	185106	Act fiber feild work is good or bad?	What are the detrimental effects of suffering from a heartache for many years from a medical perspective?	0
113231	185107	185108	What is the origin of multicellular eukaryotes?	What are multicellular eukaryotes? What is their origin?	1
113232	18104	128138	What is the corporate culture like at Tiffany? How is the culture different than other companies?	What is the corporate culture like at Intel? How is the culture different than other companies?	0
113233	185109	84296	Why do my questions do not get many answers?	Why do some Quora questions never get answers, even when they get views?	1
113234	185110	185111	What good examples of timber lacing exist in Arab architecture?	Can anyone say something about paleo meal diet?	0
113235	185112	185113	Do girls feel horny?	Do women love sex?	0
113236	185114	185115	Why did Arnab Goswami resign from Times Now?	Why Arnab Goswami resigned from TimesNow?	1
113237	185116	115281	What are tips and hacks for new ride-sharing drivers in Maui?	What are tips and hacks for new ride-sharing drivers in Toronto?	0
113238	185117	112356	If you make it to the references and background check stage of the D.E. Shaw application process, how likely are you to get an offer?	Why is D. E. Shaw so secretive?	0
113239	185118	185119	What is it like to work at the MasterCard Pune office, specially as a software engineer?	What it is like to work at Nvidia's Pune office as a software engineer?	0
113240	185120	131449	Which is good refrigerator?	How does a refrigerator work?	0
113241	185121	185122	What is the missing number in the sequence shown below?	9,10,65,26 ,--,50 what would be the missing number in the sequence?	0
113242	185123	83560	Why marriage is important for girls?	Why is marriage important?	0
113243	185124	2696	What is it like to work as a librarian in the US?	What does it feel like to be working as a librarian?	0
113244	185125	141123	When should I give up on my dream?	Should I give up my dream?	0
113245	185126	185127	What is the best framework for Android applications?	What are the best Android applications for my mobile?	0
113246	135607	185128	How do I save YouTube downloaded offline videos to an SD card or play them using third party apps?	How can I download all my videos saved as offline in YouTube in my mobile?	0
113247	185129	185130	You can have one superpower – and only one. What is it, and why did you pick it?	If you could consciously develop only one trait, what would it be and why?	0
113248	185131	185132	Why is Facebook so popular?	Why is Facebook so popular? Is it profitable to users?	0
113249	185133	68329	How can I be less sexy?	How can I be sexy?	0
113250	185134	185135	How after convicted, lalu is out of jail for so long now and also playing power games?	Could an immensely large ball of charge possibly pull an object that has crossed the event horizon of a black hole?	0
113251	24242	36871	How do I forget someone whom I really love?	How do I forget someone I love very deeply and how do I get rid of one sided love?	1
113252	28639	96383	Why do people use Quora instead of Google to find answers to questions?	Why don't Quora users simply use Google first before asking a question?	1
113253	185136	185137	What's the difference between a trademark?	What is the difference between trademark and patent?	0
113254	185138	185139	What are your favorite APIs and why?	What's your favorite API?	1
113255	185140	185141	Where's the best place to learn how to code?	Where is the best place to learn C# online?	0
113256	185142	185143	Which college is best for chemical engineering in Gujarat?	What are some good chemical engineering colleges in Gujarat?	1
113257	185144	185145	How do I lock apps on my iPhone 4?	How do I lock the apps on an iPhone?	1
113258	185146	185147	How do I stay encouraged.?	How do I stay encouraged?	1
113259	185148	185149	Is 4 ppm tds safe for drinking water?	Is 15 ppm TDS safe for drinking water?	0
113260	185150	185151	For physics, which is the best book to crack NEET?	Which is the better book of physics to crack NEET?	1
113261	185152	185153	Is Formspring a useful response service?	Which are the best products or services you have been using since longer?	0
113262	185154	185155	Can I do my post graduation in nuclear science after a B.Tech ECE? If yes, what are the colleges available?	I am pursuing a B.tech in computer science. How can I join DRDO after my graduation?	0
