id	qid1	qid2	question1	question2	is_duplicate
104021	171811	171812	What is the scariest thing that ever happened to a Google Street View mapping vehicle?	How do Google Street View cars work?	0
104022	171813	171814	I have got 1143 rank in PGCET 2016 for MBA. Kindly suggest me some good colleges in Bengaluru?	I have got 1022 rank in PGCET 2015 for MBA. Kindly suggest me some good colleges in Bengaluru?	0
104023	171815	171816	Which is the oldest language between Kannada and Tamil? What is the proof?	Is the Tamil language older than Sanskrit? How old is it when compared to all other languages of the world?	0
104024	171817	171818	What are some tips for venting a charcoal grill?	What is a gift according to you?	0
104025	171819	171820	Can too much Quora be a bad thing?	Is too much of Quora a bad thing?	1
104026	171821	171822	What did your middle school teacher get fired for?	What did the teacher in your high school get fired for?	0
104027	171823	171824	What does this code do in C and what prints in console: printf (#variable##”hello”) ?	How do I find the values at which this function continuous?	0
104028	171825	171826	What are the lame things some Indians do to appear cool?	Why is Indian comedy so lame?	0
104029	171827	171828	How misguided is the field of nanotechnology?	When will nanotechnology be used in the medical field?	0
104030	21374	54749	Why do some people ask simple direct science questions in Quora when there are sufficient resources available in internet?	Why do people ask questions on Quora that could simply be googled?	1
104031	171829	171830	Univision Pastor if there are comments?	What will Univision do with Gawker?	0
104032	78878	171831	What is difference between North Indian Brahmins and South Indian Brahmins?	What are the differences between North Indian and South Indian Hindu temples?	0
104033	171832	171833	What is an innovative name for a knowledge management portal?	What is a good name for an online fashion portal?	0
104034	37034	78807	Why do dogs bark at night in India?	Why dogs bark more at nights?	1
104035	171834	171835	Which was the last book you read? When was it?	What is the last book you read?	1
104036	117767	171836	How can one overcome procrastination?	How can I overcome the procrastination problem?	1
104037	82825	54381	How do I deal with a breakup?	How do I get over a breakup?	1
104038	171837	171838	Who was the first Hindu?	What is the first step on becoming a Hindu?	0
104039	145207	34712	What is unusual or different about the food and cuisine in Chile?	What is unusual or different about the food and cuisine in Singapore?	0
104040	171839	171840	What is E-HRM?	What is HRM?	0
104041	171841	171842	Which SEO tool is best to use?	Which is the best SEO tool?	1
104042	171843	171844	What if this life is just simulation that created by alien?	Is life just a simulation?	0
104043	21131	8875	How do I stop feeling guilty for something I did a while ago?	How do I stop feeling guilty for no reason?	1
104044	8372	46481	I forgot my MI Account username and password. How to delete that account in Xiaomi Redmi Note 3?	Will Redmi Note 3 get Marshmallow Update?	0
104045	171845	171846	What is the hardest thing about being a travel agent?	What is the hardest thing about working as a travel agent?	1
104046	171847	134686	Does Jimmy Wales earn anything from Wikipedia? If not, then how does he financially support himself?	How does Jimmy Wales make money, if he is not earning any money from Wikipedia? Does he have a side business?	1
104047	9667	22652	Why is Saltwater Taffy candy imported in Italy?	Why is Saltwater taffy candy imported in the Philippines?	1
104048	15953	14931	What do you think about Modi government banning 500 & 1000 currency note from 9th November?	How do you see the PM Modi’s move of banning old 500 and 1000 rupee currency notes?	1
104049	171848	171849	What is sulfur hexachloride?	Why is there no sulfur hexachloride?	0
104050	171850	171851	What is the easiest way to start making money online by Affiliate Marketing?	What is the best way to start making money online with affiliate marketing?	1
104051	171852	171853	What are some lesser-known sights to see when visiting Valenzuela City, Philippines?	What are some lesser-known sights to see when visiting Angeles City, Philippines?	0
104052	11349	171854	What is the square root of -4?	What are the values of square root of (-4) squared and -(4) squared, respectively?	0
104053	171855	171856	Is Harvard worried about losing Reid Barton to the industry?	What are the best sites for online dating in Cardiff?	0
104054	171857	25143	Should I stop loving someone who doesn't love me?	What can I do if I fall in love with someone who doesn't love me?	1
104055	163372	42648	How should I apply for scholarships?	How do I apply for a scholarship in IIM?	0
104056	171858	79958	How do I search in Quora?	How do you search on Quora?	0
104057	46805	97400	How do I lose weight in a month?	How do I lose a minimum of 5kg of weight in just 1 week?	0
104058	171859	171860	It is possible that one's hair does not grow after one took a complete hair cut?	Is it possible that one's hair does not grow after one has took complete hair cut?	1
104059	6208	20437	What is your weirdest dream you remember?	Which is the weirdest dream you’ve ever had?	1
104060	171861	171862	What are some useful tips and tricks for Pokémon GO?	How much mobile data does Pokémon GO use?	0
104061	171863	171864	How do you determine the thickness of a footing based on the total load?	Why is the stiffness of a beam cubic in its thickness?	0
104062	171865	171866	Are particles of matter condensations of dark matter?	Which particles are cold dark matter?	0
104063	171867	171868	One of my friends got selected in H1B but his application is currently in RFE status. What is the typical time frame to get this cleared with USCIS?	My H1b was picked up (for 2015) but got stuck at RFE, as this was raised by a consultant for me, how do I proceed?	0
104064	171869	171870	What do Somalian pirates eat?	What did pirates eat for breakfast?	0
104065	171871	171872	What is the scope of facilities management job in USA for an Indian?	What are the job scopes for tourism in the USA?	0
104066	171873	171874	How can you get thicker thighs and calves?	How can you get thicker thighs?	0
104067	45558	171875	Which is better for skinny people, a mass gainer or whey protein?	My age is 19 years. I go to the gym daily and I want to increase my muscle size. My weight is 72 kg. Which one is good for me, mass gainer or whey protein?	0
104068	46594	171876	Why do my cats start licking and then biting each other?	If I give them my hand when my cats lick and clean each other, they lick my hand as well. Do they consider me or my hand one of them?	0
104069	171877	171878	What happens at the end of The Lobster (2015)?	What is your review of The Lobster (2015 movie)?	0
104070	17595	5908	How do I increase body height?	Can skipping increase my height?	1
104071	171879	171880	What are the causes of female infanticide?	What are the causes of female infanticide in India?	0
104072	171881	171882	Can you suck your cock?	How does it feel to suck your cock?	0
104073	171883	171884	What are the best places in South America?	What is the best place to visit in South America?	1
104074	171885	171886	Which are the best dancing bollywood songs for girls (2015-2016)?	Which bollywood songs are good for dancing for girls?	0
104075	171887	171888	I am not able to play YouTube vIdeos on orfox usIng orbot, how wIll I?	How do I bookmark audiobooks in Spotify?	0
104076	171889	171890	How do I maintain creatinine levels naturally in diabetic patients?	What are some Indian food for diabetic patients?	0
104077	76661	171891	How do I prepare for net exam in education?	What is the best way to prepare for NET exam in biotechnology?	0
104078	171892	171893	For an MTech in CSE, is JIIT 62 good enough?	I will get CS at JIIT 128. Will I be able to get a hostel at JIIT 62?	0
104079	65386	171894	How is the height of a place measured above sea level? How accurate is that measurement?	Is Lake Ontario above sea level?	0
104080	171895	171896	How will wallmart buying jet effect amazon?	I am in 12th and board's are approaching can I get some tricks for paper presentation or scoring good marks?	0
104081	171897	171898	How do I become a conductor engineer?	How do you become a conductor?	0
104082	574	38159	If there will be a war between India and Pakistan who will win?	Who will win in a war between India and Pakistan?	1
104083	171899	110958	How do I Face Career Fears?	How do you face your fear?	0
104084	171900	171901	Is it possible for someone buy a country?	Really need a book to help me calm down? I was flipped out.	0
104085	171902	171903	Is fountain pen still available in India?	What are some most popular Halloween Costumes in 2016?	0
104086	171904	171905	How does the Flipkart Mobile Exchange work?	Does flipkart exchange my old phone with display is not working?(not broken touch is not working)	0
104087	171906	171907	What is the HTML code to double underline?	How can I merge CSS and HTML codes?	0
104088	171908	89827	Is this sentence true grammatically?	Is this sentence grammatically correct?	0
104089	36326	171909	How do I check Google Chrome history after it was deleted?	Can history be retrieved after deleting Google chrome?	1
104090	171910	171911	What is your most unpopular opinion about anything?	What are your most controversial or unpopular opinions?	1
104091	101898	89754	Are there any real parallel universe?	Does the parallel universe exist?	1
104092	171912	171913	Why are BMWs so expensive to maintain?	Is it expensive to use a BMW?	0
104093	171914	171915	What's the difference between MH Basic, MH Smart and MH Flex in Malaysian Airlines?	Was MH-370 not being tracked by GPS?	0
104094	27618	23147	How does banning 500 and 1000 rupee notes help to control black money?	How will banning Rs. 500 and Rs. 1000 notes help in overcoming corruption in India?	1
104095	171916	134706	What causes people to commit suicide?	What causes the mind to generate the idea of committing suicide?	1
104096	24314	171917	What exactly is the 4th dimension?	Is 4th dimension really possible?	0
104097	171918	79836	What was the best way you've ever seen a teacher eradicate bullying in their class?	What are the best ways to handle bullies?	0
104098	171919	171920	Do most heterosexual men enjoy giving cunnilingus? Why or why not?	Are gay men capable of living as long as heterosexual men?	0
104099	171921	171922	I don't want to study for an exam. What should I do?	Why don't I want to study before the exam?	1
104100	171923	171924	What is the best place for a software engineer to live in Europe?	Where is the best place in Europe to be a software engineer?	1
104101	171925	171926	?	Problem of solving a problem is not a problem, but when a problem solves a problem without any problem then the problem is not at all a problem, why?	0
104102	171927	2791	What is the proper response to having your butt slapped by a stranger in public?	What has been your most embarrassing moment in front of a stranger?	0
104103	171928	80762	What is the importance of political sociology?	What is the importance of educational sociology?	0
104104	171929	171930	Super Smash Bros. Brawl: What is the best strategy against Link?	Super Smash Bros. Brawl: What is the best strategy against Jigglypuff?	0
104105	129132	171931	"When will the Chinese Communist party end? Or, more relevantly, ""When will the absolute rule of China by the Chinese Communist Party end?"""	When will China's Communist Party collapse?	0
104106	42810	24396	What is actual meaning of life?	What is a meaning of life?	1
104107	31578	171932	How do you search for people on Instagram?	How do you find people on Instagram online?	1
104108	171933	130382	How do you hire an efficient private investigator?	How do I find a good private investigator?	1
104109	138440	171934	What is the best IDE for C?	What is the best IDE for Centos?	0
104110	171935	171936	Who started the marketing flame war between Coca Cola and Pepsi?	What started the Cola Wars?	1
104111	91608	171937	How many colours are in the rainbow?	Why all colours in rainbow are not seen?	0
104112	79525	38302	Is it possible to install and run an app on a Windows phone that was developed for an Android phone?	How can I install android apps on my windows phone 8?	1
104113	171938	54329	What are the tips and hacks for getting the classes that you want as a freshman at Eastern Florida State College?	What are the tips and hacks for getting the classes that you want as a freshman at Florida State?	0
104114	22803	171939	Who is Darth Vader's father?	What is the best Darth Vader death scene?	0
104115	171940	171941	MDMA (Ecstasy): How is blood pressure affected by candy-flipping?	How is blood pressure affect by cold air?	0
104116	142723	171942	What are Zen Buddhism beliefs and practices?	What are Zen Buddhism beliefs?	1
104117	171943	171944	What are the top secret defence projects commissioned by India which are currently wip?	What are some highly secret projects that India has done in the past which people came to know only after the completion of the project?	0
104118	171945	171946	How should a startup E-Commerce project report look like from an investor's view?	What are the best sites for a self-learner?	0
104119	171947	171948	How do I type telugu titles in different fonts (For movie titles)?	What does it mean when you are coughing up green mucus when pregnant?	0
104120	171949	171950	How should I categorize superpowers in my story?	What is there to do in San Jose, CA during the winter (without too many people)?	0
104121	102903	171951	Why can't people with tattoos donate blood?	What are the advantages and disadvantages of donating blood which most people don't know?	0
104122	171952	171953	Is this article describing india and indians accurate? Are indians so status obsessed, brainwashed, and fanatically patriotic?	Why is Indian education system so rank obsessed?	0
104123	171954	171955	Is it okay for a Christian to watch porn?	Is it okay to watch porn?	0
104124	171956	20842	What happens if a person drinks blood?	What happens if I drink blood everyday?	0
104125	86369	99833	What are the security features in new currency notes?	What are the security features of a new Rs. 500 and Rs. 2000 notes?	1
104126	171957	82404	How can I cure my severe anxiety?	How does one overcome depression and anxiety?	0
104127	171958	133651	What is the difference between bicarbonate soda and baking soda and how are they alike?	What are the differences between using baking soda and bicarbonate of soda? When are they applied?	1
104128	171959	171960	Where can I found modern wardrobe design in Sydney?	Where can I found modern & stylish wardrobe products in Sydney?	0
104129	171961	171962	What are fast, free online IDEs for Node.js?	Which one is the best and completely free IDE for Node.js development?	0
104130	171963	171964	Why is law school so terrible?	Why is the first year of law school so bad?	0
104131	171965	171966	I'm transgender. How can I make my penis look like a vagina?	I'm a guy. If I have sex with a transgender man, am I gay?	0
104132	171967	171968	Where is the cheapest place to buy perler beads?	Where can I buy metal hair beads in bulk?	0
104133	122842	126358	How does Quora decide which topics to suggest for a question?	What does Quora use to suggest topics for new questions?	1
104134	171969	171970	Can you have a negative pregnancy test 4 days before your period but still be pregnant?	Can you have a negative pregnancy test 2 days before your period and still get pregnant?	1
104135	4142	54836	What is your review of the MacBook Pro (2016)?	Is MacBook Pro 2016 worth it?	1
104136	42587	171971	What's the quickest and most painless way to commit suicide?	What is the best, and painless way to kill myself?	1
104137	33565	171972	What are some great Halloween traditions?	What are your favorite Halloween traditions?	1
104138	171973	171974	Is feminism against gender equality?	What is gender equality?	0
104139	171975	23283	I am gonna buy a Laptop from Amazon worth INR 30k in next week, how can I save maximum money on it?	What are some great tricks to save money while shopping online?	0
104140	171976	171977	How do you stay connected with your partner when life gets busy?	Will my crush ever become my life partner?	0
104141	171978	171979	How can you determine the formula for dichromate?	How do you determine the dichromate ion formula?	0
104142	171980	171981	I'm Mexican and I'm a Donald trump supporter I think he would become a good president?	I think I am pretty good at thinking of a business model, and I wish to become a great entrepreneur. I am still 18. Should I still go to college?	0
104143	171982	171983	How do I study maths for JEE?	How should I study math for the JEE?	1
104144	171984	171985	What are the defining characteristics of being Buddhist?	Can women be Buddhist monks?	0
104145	171986	171987	What is the best way to grow a Facebook fan page?	How do I get more followers on my Facebook page?	1
104146	165292	151319	Why are Chinese so good at table tennis?	Why are the Chinese so good at table tennis?	1
104147	3745	171988	How do you think the future of choosing a research or career path in Computational Geophysics would be, for a MS student in Compuational Engineering?	Yoshua Bengio: For a soon to be graduate student willing to build a career in ML and Deep Learning, how do you compare the pros of with or without going for a PhD?	0
104148	171989	171990	Can you take pseudoephedrine and NyQuil together? What are the side effects?	Can I take Nyquil and Tylenol together?	0
104149	68365	171991	How can I download my e-Aadhaar Card?	How can I get an Aadhaar card in Tamilnadu?	0
104150	171992	171993	Is it possible to use Google drive to upload pics directly to Picasa web?	How can I delete my pics from Google drive?	0
104151	22686	171994	How do I upgrade Samsung Galaxy Grand Neo to Kitkat?	How do I upgrade my Samsung galaxy grand 2 from Android 4.4.2 to 6.0 if it is rooted?	0
104152	171995	171996	Is being a vegan bad for your health?	Why is being a vegan bad?	0
104153	171997	171998	Are there any free translator service for translating a short letter in English to Mongolian?	Are there any words in the English language (even contrived) that do not have a proper translation in other languages?	0
104154	171999	172000	Why is sex bad?	What is bad sex?	0
104155	172001	172002	I have passed all my CPA exams, and met the experience requirements, but I am stuck now as I only have a bachelor's degree with 128 credit hours. What is the cheapest, quickest way to meet the 150 credits requirement?	How do I meet the 150 hours of education requirement to obtain CPA license if I have only 120 that allowed me to sit for the exams?	0
104156	172003	172004	Where is the best cafe in India?	What is the best cafe in the world?	0
104157	172005	172006	Which one is better between B.Tech and L.L.B, or a B.A L.L.B? Why?	What's the difference between B.B.A LLB and B.A LLB? Which one is better?	0
104158	67435	16730	What is the most embarrassing moment that ever happened to you?	What was the most embarrassing moment in front of your parents?	0
104159	172007	172008	How do the pseudoscience based on Ramayana, Mahabharata, Purana, Smritis, Upanishads, Weda, etc, provide tools for the mind-control of the masses?	Did I really see dead people or am I just plain crazy?	0
104160	172009	172010	Does anyone cured stammering through pranic healing?	Does pranic healing cure stammering?	0
104161	172011	172012	How can I do sex for long time?	How do I have sex for a long time?	1
104162	172013	172014	Are snapstreaks counted by the day your streak began or the specific time that it did?	If you send someone snaps, but they don't reply or open them, will the streak stay alive?	0
104163	172015	172016	How can I find best budget hotels in Bhopal for accommodation in this new year eve?	How can I find best budget hotels in Pune for accommodation in this new year eve?	0
104164	172017	172018	How do you think about Peter Thiel's speech at RNC 2016?	What did you think of Peter Thiel's RNC speech?	1
104165	172019	113569	Are there undiscovered elements on other planets?	What are the chances that elements we don't know of exist on other planets or in other galaxies?	1
104166	172020	172021	What is Bette Davis style?	What are some types of fashion styles?	0
104167	172022	172023	What is GLMQ courier in Amazon India?	Can we send ATM card via courier in India?	0
104168	58058	8083	Why do some completely straight forward questions get marked by Quora as needing improvement and what can you do about it?	Why does Quora mark most of the questions as needing improvement?	1
104169	172024	6471	How do the tourist attractions on the Scandinavian Highlands compare to attractions in Kosovo?	How do the tourist attractions on the Scandinavian Highlands compare to attractions in Slovakia?	0
104170	172025	172026	If matter is never created or destroyed, where did it all come from?	If E=MC^2, and nothing passes the speed of light, how does this equation work? According to the law of conservation of energy, no energy is created or destroyed. If so, where did the energy come from in the first place?	0
104171	172027	109214	What's the best way to write an F in cursive?	"How do you write a cursive capital ""J?"""	0
104172	172028	172029	Boyfriend made a joke that we should do a threesome for dessert, in front of me and his female best friend. isn't that disrespectful?	Is it OK for my boyfriend to have his female friends stay over?	0
104173	107555	36011	What is a suitable solar panel installation provider in Alpine, California CA?	What is a suitable solar panel installation provider near Aptos, California CA?	0
104174	172030	172031	How are football fans from Spain reacting to La Liga matches being shifted for Indian fans?	Interrupt applications in power electronics?	0
104175	24242	10346	How do I forget someone whom I really love?	How can I forget someone I love strongly?	1
104176	166647	103794	I really like this girl for about 2 years long but she already has a ''boyfriend''.. what should I do?	Dating Advice: I really like a girl but she already has a boyfriend. What should I do?	1
104177	172032	172033	What are some tricks/tips to get 1st std admission at Kendriya Vidyalaya?	Kendriya Vidyalaya: What does it feel like to be a KVian?	0
104178	172034	172035	What is structural design?	What is structural design efficiency?	0
104179	172036	172037	How do I delete all my questions and answers on Quora on once?	Why does Quora block my questions and answers?	0
104180	45323	31620	How to reduce my tummy?	How can I reduce tummy fat?	1
104181	172038	172039	Why is there separate laws for Muslims in India?	Why are there separate laws for Muslims in India?	1
104182	172040	172041	Which is best fun and entertainment website?	Which is best logo website?	0
104183	144225	172042	Which website is best to buy t-shirts in India?	What is the best e-commerce site to order T-shirts in India?	1
104184	172043	172044	I am 20 years old and in University, how do I become a millionaire by 25 using a web based business?	How can I become a millionaire in just 10 years? I'm 18 year old, from a low class family.	0
104185	172045	172046	What is the news behind Rajnikant movie kabali leaked?	How can I get phone call logs online?	0
104186	172047	91320	What's the ultimate aim of life?	What is ultimate goal of life?	1
104187	101392	172048	Did the students strikes in Montreal have any real profound effect on the collective consciousness of Quebec?	Have you ever taken any sort of advice from someone that you regretted later? Did it have any profound effect on your life at all?	0
104188	11224	147381	How can one get a WiFi password using an IP address in an Android mobile?	How do I get a Chinese IP address using VPN?	0
104189	172049	153589	Is it possible for an aircraft to have no stall speed, other than 0?	Is it possible that General relativity is an approximation?	0
104190	172050	172051	What are the causes of NPA?	Why are Indian banks so overburdened by the NPA?	1
104191	172052	172053	What is it like to live on a boat?	What is it like to live in a house boat?	1
104192	172054	172055	What is the worst type of bullying?	What is your worst experience with bullying?	0
104193	73743	172056	What should I do if I hate my life?	How do I make a fresh start in life?	0
104194	172057	172058	Why can't Modi and A.K supporters think about India's first? Criticise when they are wrong so that may be party or leaders introspect?	Why do people run for office under the banner of a party when they don't support that party's most basic platform positions?	0
104195	172059	172060	What scenes in Furious 7 were filmed with Caleb and Cody standing in for their late brother Paul Walker?	What car did Paul Walker drive in Fast and Furious 7?	0
104196	172061	172062	Who will win the 18th match between South Korea and Australia in the 2016 Kabaddi World Cup?	Who will win the 1st match between India and South Korea in the 2016 Kabaddi World Cup?	0
104197	18953	54444	How can you speak and learn fluent English like Karan Johar?	How could an English learner speak fluently?	1
104198	172063	172064	What is the percentage of the world's population who hold doctorate degrees?	How do they measure the population of the world?	0
104199	172065	57690	How can I find a title sponsor for my college tech fest?	What sponsors can sponsor college events in Pune?	1
104200	172066	172067	What are the best unknown secrets to start improvising (guitar)?	What are the best unknown secrets to start improvising (playing guitar)?	1
104201	172068	172069	How do I differentiate WBC cells while performing DLC?	How do I stop removing of WBC?	0
104202	172070	172071	Does warming up food in a microwave destroy the nutrients?	What happens to food when it is heated in a microwave oven? Does it loose it's nutrient value?	0
104203	172072	172073	How come the Star Tours attraction and the now defunct Body Wars attraction at WDW are both only 4.5 minutes long?	"Is it correct to say: ""A is twice as big than needed.""? ."	0
104204	11396	1287	How can I improve my English speaking ability?	How can I improve my English speaking .?	1
104205	170117	172074	How do I become a linguistic anthropologist?	What is a Linguistic Anthropologist?	0
104206	36447	36356	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Calabria?	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Eslands River?	1
104207	172075	172076	How can I get rid of my anger?	How should I get rid of excessive anger?	0
104208	172077	15015	How do I learn to take things easily?	What are the best ways to learn new things?	0
104209	172078	172079	What is the difference between Indian Official Passport and Indian Diplomatic Passport?	My Indian passport address is different from where I am staying now. Will this affect my master’s application?	0
104210	172080	172081	How is timber wood made?	How is timber wood used?	0
104211	172082	172083	How do I Build a WordPress website?	What are some good ways to build a WordPress website?	0
104212	172084	172085	Why is bank rate a discounted rate?	What is a bank rate?	0
104213	13241	172086	How does eukaryotic and prokaryotic cells differ?	How are prokaryotic and eukaryotic cells different?	1
104214	172087	172088	What was your first mobile phone/handset?	What was your first mobile phone?	1
104215	21553	110747	What are some of the top paying career options after doing a B.Tech in mechanical engineering?	How will be my career if I chose MBA after b.tech in mechanical engineering?	1
104216	172089	172090	How much money do you need for a 1 week proper trip to norway?	What are the major problems our society is facing and technology can help to solve them?	0
104217	172091	172092	What is the difference between plot and summary in a story?	What are some good (and creative) plots for a story?	0
104218	172093	172094	What currency does Singapore use?	What is the currency of Singapore?	1
104219	172095	172096	What is the VAT for unregistered business in India?	What is the process close a vat firm in India?	0
104220	172097	172098	Are peace and nonviolence outdated concepts?	Should we always seek peace?	0
104221	172099	172100	How much would one credit be worth in the Star Wars universe if it could be exchanged for US Dollars?	How much is a Star Wars Republic credit worth in US dollars?	1
104222	172101	172102	What’s the best business advice you've ever been given?	What's the best advice you've ever given or been given in terms of decision making in organizations?	0
104223	172103	172104	What are the common features found in most of the successful people?	What are some of the most common mistakes people make in academic presentations?	0
104224	172105	156258	Which is the most independent country?	What country has the most attractive women -- either in absolute terms or in density?	0
104225	172106	172107	What are some signs a Scorpio man is interested in you?	I'm a Leo man and my horoscope (kundli) though matches with a Scorpio girl but as our sun signs are not compatible, should I consider this alliance?	0
104226	19754	13324	Why did America vote for Donald Trump as President in the 2016 Elections?	How did Donald Trump win the 2016 Presidential Election?	1
104227	172108	172109	What signs are Aries compatible with for friendships and business partnerships?	How compatible are an Aries man and a Aries woman?	0
104228	4621	172110	What is a suitable solar panel installation provider near Laveen, Arizona AZ?	Which is a suitable solar panel installation provider near Laveen, Arizona AZ?	1
104229	172111	19523	What is a black hole and how is it created?	What do we mean by black hole?	1
104230	172112	67854	After passing Grade 10 boards, which subject should I choose between mathematics and biology?	Which subject should I take after 10th? Maths or biology?	1
104231	172113	172114	Who are vendors to provide contractors working for Freddie Mac?	What is it like to work at Apple as a contractor?	0
104232	172115	172116	What is isotopes?	What are isotopes?	1
104233	27980	172117	Can any fair-minded person, honestly dispute that Muslim refugees in Europe are biting the very hand that feeds them?	What is the best podcast app for Android that can import feeds from feedly?	0
104234	172118	172119	What are some major problems you face?	What are some of the major problems faced by youth?	0
104235	172120	172121	What can Linux do but Windows cannot?	Is there something which Linux can do but Windows can not?	1
104236	172122	172123	What are some TV series that are similar to Homeland series?	What are TV series that are similar to Homeland series?	1
104237	60106	21469	Will swimming increase height after 20 years of age?	Is it possible to increase the body height after 20?	1
104238	172124	172125	How can I improve my literature?	How can I improve my writing numbers’ level?	0
104239	172126	172127	What is the difference between Static Websites and Dynamic Websites?	What is the major difference between static input and dynamic input in Array?	0
104240	172128	172129	Do you think chatbots will take off?	Do you think Facebook chatbots will take off?	1
104241	172130	172131	When will the job as pilot be replaced by robots?	Will pharmacists be replaced by robots?	0
104242	172132	82534	Can a non God parent have God as children?	Geographical discoveries and ottoman empire?	0
104243	172133	172134	Pokémon (anime): What is the difference between Pikachu's thunderbolt and thundershock?	In the Pokémon anime, how many moves does Pikachu know and what are they?	0
104244	172135	172136	What is the best pen to write the UPSC Mains exam with?	Which is the best pen to use in upsc exams?	1
104245	172137	172138	What software should I use to write an eBook?	What open source software is popular for writing and self-publishing an ebook?	1
104246	80343	172139	What are some methods for preventing pregnancy?	What are the methods to avoid pregnancy?	1
104247	172140	172141	Where will you go after you die? To heaven or hell?	Are you going to heaven or hell?	1
104248	172142	172143	Do you want to occupy a 4BHK Independent House equipped with 3 Bathrooms and Study Room situated at 2nd Phase, JP Nagar, Bengaluru?	As a Muslim or Christian do you find it extremely challenging for you and your family to rent a house in Bengaluru or any other city in India?	0
104249	172144	172145	For a general number N, how many enumerations are there of numbers from the set [1...N] that sum to N?	Chemistry: How many electrons in an atom could have these sets of quantum numbers? N=6, l=1,ml=-1	0
104250	172146	172147	Why mobile phone is also know as cell phone?	Why are mobile phones also known as 'cell phones'?	1
104251	172148	172149	Twenty seconds of insane courage: How might a young man, feeling a strong attraction to a young woman on the street, meet her?	What is the best way to approach a woman walking in front of you?	0
104252	172150	3058	Which car services are available in Waterloo, ON? How good are they compared to taxis and relative to each other?	Which car services are available in Philadelphia? How good are they compared to taxis and relative to each other?	0
104253	172151	172152	What do you think of the new Mummy (2017) trailer?	What are your views on The Mummy trailer?	1
104254	90384	172153	What are the suggested accounts under the search bar in Instagram (above the recently searched accounts)?	Is it possible to get rid of search suggestions on Instagram?	0
104255	172154	172155	What is Robert Frost's job at NASA?	Robert Frost: What were the major challenges Robert Frost faced in his career at NASA?	0
104256	172156	172157	What is the salary of an IPS officer during trainning period?	What is the salary of IPS officer during training period?	1
104257	172158	172159	How can a technical co-founder find a non-technical co-founder in college/university?	How do I find good technical co-founders?	0
104258	172160	167787	Why do people put salt in beer?	Why do a lot of people enjoy beer in spite of its bitter taste?	0
104259	63060	34377	What are the best reference books for learning Java?	What is the best book for learning Java for beginner?	1
104260	172161	172162	How do I delete all my tweets? I don't want to application to tweet for me though.	How can I tweet to someone who doesn't follow me on Twitter?	0
104261	172163	172164	What are some things I can do to become more self-aware?	How do you become more self-aware?	1
104262	108819	172165	Do you think republican members of the electoral college will go against tradition and refuse to vote for Trump in December 2016?	Can the electoral college in December choose or decide that they don't want Trump as President anymore?	1
104263	85025	172166	What are some real-life applications of integration and differentiation?	According to real life point of view, when should we use differentiation or integration?	0
104264	45489	22198	Which is the best laptop for gaming under 60k INR?	What are some of the best gaming laptops under rs 60000 that are available in india?	1
